ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	ALIGNMENT	QUINTILES
2430	SouthernPwo	chicken	chɔ̃⁵³	chɔ̃⁵³	cʰ ɔ̃ ⁵³		579	cʰ - ɔ̃ - - ⁵³	cʰ ɔ̃ ⁵³
2727	SouthernSgaw	chicken	chɔ⁵⁵	chɔ⁵⁵	cʰ ɔ ⁵⁵		579	cʰ - ɔ - - ⁵⁵	cʰ ɔ ⁵⁵
3018	WesternBwe	chicken	ʃi⁵⁵	ʃi⁵⁵	ʃ a ⁵⁵		579	ʃ - a - - ⁵⁵	ʃ a ⁵⁵
48	ProtoKaren	chili pepper, pungent	*hatᴰ	*hatᴰ	h a t̚ ⁵¹		592	h a t̚ ⁵¹	( h a t̚ ⁵¹ )
389	Kayah	chili pepper, pungent	hɛ⁵⁵	hɛ⁵⁵	h ɛ ⁵⁵		592	h ɛ - ⁵⁵	h ɛ ⁵⁵
684	Kayan	chili pepper, pungent	hɛɁ⁴⁵	hɛɁ⁴⁵	h ɛ ʔ ⁴⁵		592	h ɛ ʔ ⁴⁵	h ɛ ʔ ⁴⁵
978	Kayaw	chili pepper, pungent	hɛ³³	hɛ³³	h ɛ ³³		592	h ɛ - ³³	h ɛ ³³
1290	NorthernPao	chili pepper, pungent	hat²¹	hat²¹	h a t ²¹		592	h a t ²¹	h a t ²¹
1852	NorthernSgaw	chili pepper, pungent	hɛ³³	hɛ³³	h ɛ ³³		592	h ɛ - ³³	h ɛ ³³
2159	SouthernPao	chili pepper, pungent	hap²¹	hap²¹	h a p ²¹		592	h a p ²¹	h a p ²¹
2431	SouthernPwo	chili pepper, pungent	ɣɛ⁵⁵	ɣɛ⁵⁵	ɣ ɛ ⁵⁵		592	ɣ ɛ - ⁵⁵	ɣ ɛ ⁵⁵
2728	SouthernSgaw	chili pepper, pungent	hɛ⁵⁵	hɛ⁵⁵	h ɛ ⁵⁵		592	h ɛ - ⁵⁵	h ɛ ⁵⁵
3019	WesternBwe	chili pepper, pungent	hɛ³³	hɛ³³	h ɛ ³³		592	h ɛ - ³³	h ɛ ³³
49	ProtoKaren	chin, jaw	*kaᴮ	*kaᴮ	kʰ a ¹¹		603	kʰ a ¹¹	( kʰ a ¹¹ )
390	Kayah	chin, jaw	khe¹¹	khe¹¹	kʰ e ¹¹		603	kʰ e ¹¹	kʰ e ¹¹
685	Kayan	chin, jaw	ka¹¹	ka¹¹	kʰ a ¹¹		603	kʰ a ¹¹	kʰ a ¹¹
979	Kayaw	chin, jaw	kha¹¹	kha¹¹	kʰ a ¹¹		603	kʰ a ¹¹	kʰ a ¹¹
1291	NorthernPao	chin, jaw	ka⁵⁵	ka⁵⁵	kʰ a ⁵⁵		603	kʰ a ⁵⁵	kʰ a ⁵⁵
1569	NorthernPwo	chin, jaw	kha³³	kha³³	kʰ a ³³		603	kʰ a ³³	kʰ a ³³
1853	NorthernSgaw	chin, jaw	kha³¹῀	kha³¹῀	kʰ a ³¹		603	kʰ a ³¹	kʰ a ³¹
2160	SouthernPao	chin, jaw	ka³³	ka³³	kʰ a ³³		603	kʰ a ³³	kʰ a ³³
2432	SouthernPwo	chin, jaw	kha⁵⁵	kha⁵⁵	kʰ a ⁵⁵		603	kʰ a ⁵⁵	kʰ a ⁵⁵
2729	SouthernSgaw	chin, jaw	kha⁴⁵’	kha⁴⁵’	kʰ a ⁴⁵		603	kʰ a ⁴⁵	kʰ a ⁴⁵
3020	WesternBwe	chin, jaw	khe³³	khe³³	kʰ ɛ ³³		603	kʰ ɛ ³³	kʰ ɛ ³³
50	ProtoKaren	cicada	*ŋjajᴬ	*ŋjajᴬ	ŋ j ai ⁵⁵		616	ŋ j ai - ⁵⁵	ŋ|ŋ|ŋ|ŋ|ŋ j|j|j|j|j ai|ai|ai|ai|ai -|-|-|-|- ⁵⁵|⁵⁵|⁵⁵|⁵⁵|⁵⁵
391	Kayah	cicada	ja¹¹	ja¹¹	j a ¹¹		616	- j a - ¹¹	j a ¹¹
686	Kayan	cicada	ji³³	ji³³	j ai ³³		616	- j ai - ³³	j ai ³³
1292	NorthernPao	cicada	ŋja³³	ŋja³³	ŋ j ai ³³		616	ŋ j ai - ³³	ŋ j ai ³³
1570	NorthernPwo	cicada	jai⁵⁵	jai⁵⁵	j ai ⁵⁵		616	- j ai - ⁵⁵	j ai ⁵⁵
1854	NorthernSgaw	cicada	je³³, ze³³	je³³	j e ³³		616	- j e - ³³	j e ³³
1855	NorthernSgaw	cicada	je³³, ze³³	ze³³	z e ³³		617	z e ³³	z e ³³
2433	SouthernPwo	cicada	jai³¹ ̈	jai³¹̈	j ai ɦ ³¹		616	- j ai ɦ ³¹	j ai ɦ ³¹
51	ProtoKaren	civet cat	*thuᴮ	*thuᴮ	tʰ u ¹¹		625	tʰ u - ¹¹	( tʰ u ¹¹ )
687	Kayan	civet cat	thu¹¹	thu¹¹	tʰ u ¹¹		625	tʰ u - ¹¹	tʰ u ¹¹
980	Kayaw	civet cat	thu¹¹	thu¹¹	tʰ u ¹¹		625	tʰ u - ¹¹	tʰ u ¹¹
2434	SouthernPwo	civet cat	thuɁ²¹thõ³¹ ̈, thu⁵⁵thõ¹¹	thuɁ²¹thõ³¹̈	tʰ u ʔ ²¹ + tʰ õ ɦ ³¹		625 627	tʰ u ʔ ²¹ + tʰ õ ɦ ³¹	tʰ u ʔ ²¹ + tʰ õ ɦ ³¹
2435	SouthernPwo	civet cat	thuɁ²¹thõ³¹ ̈, thu⁵⁵thõ¹¹	thu⁵⁵thõ¹¹	tʰ u ⁵⁵ + tʰ õ ¹¹		625 627	tʰ u - ⁵⁵ + tʰ õ - ¹¹	tʰ u ⁵⁵ + tʰ õ ¹¹
3021	WesternBwe	civet cat	thu³³	thu³³	tʰ u ³³		625	tʰ u - ³³	tʰ u ³³
57	ProtoKaren	classfier for round objects	*phloŋᴮ	*phloŋᴮ	pʰ l o ŋ ¹¹		634	pʰ l o ŋ ¹¹	( pʰ l o ŋ ¹¹ )
396	Kayah	classfier for round objects	phlɔ¹¹	phlɔ¹¹	pʰ l ɔ ¹¹		634	pʰ l ɔ - ¹¹	pʰ l ɔ ¹¹
692	Kayan	classfier for round objects	phləu¹¹	phləu¹¹	pʰ l əu ¹¹		634	pʰ l əu - ¹¹	pʰ l əu ¹¹
985	Kayaw	classfier for round objects	phlə¹¹	phlə¹¹	pʰ l ə ¹¹		634	pʰ l ə - ¹¹	pʰ l ə ¹¹
1297	NorthernPao	classfier for round objects	phloŋ⁵⁵	phloŋ⁵⁵	pʰ l o ŋ ⁵⁵		634	pʰ l o ŋ ⁵⁵	pʰ l o ŋ ⁵⁵
1576	NorthernPwo	classfier for round objects	phlãu³³	phlãu³³	pʰ l ãu ³³		634	pʰ l ãu - ³³	pʰ l ãu ³³
1861	NorthernSgaw	classfier for round objects	phlə³¹῀	phlə³¹῀	pʰ l ə̃ ³¹		634	pʰ l ə̃ - ³¹	pʰ l ə̃ ³¹
2164	SouthernPao	classfier for round objects	phloŋ³³	phloŋ³³	pʰ l o ŋ ³³		634	pʰ l o ŋ ³³	pʰ l o ŋ ³³
2440	SouthernPwo	classfier for round objects	phlõu⁵⁵	phlõu⁵⁵	pʰ l õu ⁵⁵		634	pʰ l õu - ⁵⁵	pʰ l õu ⁵⁵
2735	SouthernSgaw	classfier for round objects	phlɨ⁴⁵’	phlɨ⁴⁵’	pʰ l ɨ ⁴⁵		634	pʰ l ɨ - ⁴⁵	pʰ l ɨ ⁴⁵
52	ProtoKaren	classifier (hand of bananas)	*sejᴮ	*sejᴮ	s ei ¹¹		646	s ei ¹¹	( s ei ¹¹ )
392	Kayah	classifier (hand of bananas)	sə¹¹	sə¹¹	s ə ¹¹		646	s ə ¹¹	s ə ¹¹
688	Kayan	classifier (hand of bananas)	θɨ¹¹	θɨ¹¹	θ ɨ ¹¹		646	θ ɨ ¹¹	θ ɨ ¹¹
981	Kayaw	classifier (hand of bananas)	si¹¹	si¹¹	s i ¹¹		646	s i ¹¹	s i ¹¹
1293	NorthernPao	classifier (hand of bananas)	si⁵⁵	si⁵⁵	s i ⁵⁵		646	s i ⁵⁵	s i ⁵⁵
1571	NorthernPwo	classifier (hand of bananas)	sei³³	sei³³	s ei ³³		646	s ei ³³	s ei ³³
1856	NorthernSgaw	classifier (hand of bananas)	si³¹῀	si³¹῀	s i ³¹		646	s i ³¹	s i ³¹
2161	SouthernPao	classifier (hand of bananas)	si³³	si³³	s i ³³		646	s i ³³	s i ³³
2730	SouthernSgaw	classifier (hand of bananas)	si⁴⁵’	si⁴⁵’	s i ⁴⁵		646	s i ⁴⁵	s i ⁴⁵
55	ProtoKaren	classifier for a piece of meat, cake, etc.	*plɔŋᴮ	*plɔŋᴮ	p l ɔ ŋ ¹¹		656	p l ɔ ŋ ¹¹	( p l ɔ ŋ ¹¹ )
395	Kayah	classifier for a piece of meat, cake, etc.	plɔ¹¹	plɔ¹¹	p l ɔ ¹¹		656	p l ɔ - ¹¹	p l ɔ ¹¹
984	Kayaw	classifier for a piece of meat, cake, etc.	plo¹¹	plo¹¹	p l o ¹¹		656	p l o - ¹¹	p l o ¹¹
1296	NorthernPao	classifier for a piece of meat, cake, etc.	lɔŋ⁵⁵	lɔŋ⁵⁵	p l ɔ ŋ ⁵⁵		656	p l ɔ ŋ ⁵⁵	p l ɔ ŋ ⁵⁵
1574	NorthernPwo	classifier for a piece of meat, cake, etc.	lɔ̃³³	lɔ̃³³	pʰ l ɔ̃ ³³		656	pʰ l ɔ̃ - ³³	pʰ l ɔ̃ ³³
1859	NorthernSgaw	classifier for a piece of meat, cake, etc.	lo³¹῀	lo³¹῀	b l õ ³¹		656	b l õ - ³¹	b l õ ³¹
2438	SouthernPwo	classifier for a piece of meat, cake, etc.	lõ⁵⁵	lõ⁵⁵	pʰ l õ ⁵⁵		656	pʰ l õ - ⁵⁵	pʰ l õ ⁵⁵
2733	SouthernSgaw	classifier for a piece of meat, cake, etc.	lu⁴⁵’	lu⁴⁵’	b l u ⁴⁵		656	b l u - ⁴⁵	b l u ⁴⁵
53	ProtoKaren	classifier for flat objects	*Ɂbaᴮ	*Ɂbaᴮ	ˀb a ¹¹		666	ˀb a ¹¹	( ˀb a ¹¹ )
393	Kayah	classifier for flat objects	be¹¹	be¹¹	b e ¹¹		666	b e ¹¹	b e ¹¹
689	Kayan	classifier for flat objects	ba¹¹	ba¹¹	b a ¹¹		666	b a ¹¹	b a ¹¹
982	Kayaw	classifier for flat objects	ba¹¹	ba¹¹	b a ¹¹		666	b a ¹¹	b a ¹¹
1294	NorthernPao	classifier for flat objects	ba⁵⁵	ba⁵⁵	b a ⁵⁵		666	b a ⁵⁵	b a ⁵⁵
1572	NorthernPwo	classifier for flat objects	bai³³	bai³³	b ai ³³		666	b ai ³³	b ai ³³
1857	NorthernSgaw	classifier for flat objects	be³¹῀	be³¹῀	b e ³¹		666	b e ³¹	b e ³¹
2162	SouthernPao	classifier for flat objects	ba³³	ba³³	b a ³³		666	b a ³³	b a ³³
2436	SouthernPwo	classifier for flat objects	bai⁵⁵	bai⁵⁵	b ai ⁵⁵		666	b ai ⁵⁵	b ai ⁵⁵
2731	SouthernSgaw	classifier for flat objects	bi⁴⁵’	bi⁴⁵’	b i ⁴⁵		666	b i ⁴⁵	b i ⁴⁵
59	ProtoKaren	classifier for four-legged animals	*Ɂdəᴬ	*Ɂdəᴬ	ˀd ə ⁵⁵		677	ˀd ə - ⁵⁵	( ˀd ə ⁵⁵ )
398	Kayah	classifier for four-legged animals	do³³	do³³	d o ³³		677	d o - ³³	d o ³³
694	Kayan	classifier for four-legged animals	dəɨ⁵³	dəɨ⁵³	d əɨ ⁵³		677	d əɨ - ⁵³	d əɨ ⁵³
987	Kayaw	classifier for four-legged animals	də⁵⁵	də⁵⁵	d ə ⁵⁵		677	d ə - ⁵⁵	d ə ⁵⁵
1578	NorthernPwo	classifier for four-legged animals	dəɨ⁵⁵	dəɨ⁵⁵	d əɨ ⁵⁵		677	d əɨ - ⁵⁵	d əɨ ⁵⁵
1863	NorthernSgaw	classifier for four-legged animals	dɨ³³	dɨ³³	d ɨ ³³		677	d ɨ - ³³	d ɨ ³³
2442	SouthernPwo	classifier for four-legged animals	dɨ³¹ ̈	dɨ³¹̈	d ɨ ɦ ³¹		677	d ɨ ɦ ³¹	d ɨ ɦ ³¹
2737	SouthernSgaw	classifier for four-legged animals	dɨ⁵⁵	dɨ⁵⁵	d ɨ ⁵⁵		677	d ɨ - ⁵⁵	d ɨ ⁵⁵
58	ProtoKaren	classifier for long objects	*ɁbɔNᴬ	*ɁbɔNᴬ	ˀb ɔ ɴ ⁵⁵		686	ˀb ɔ ɴ ⁵⁵	ˀb|ˀb|ˀb|ˀb|ˀb ɔ|ɔ|ɔ|ɔ|ɔ -|-|-|-|- ⁵⁵|⁵⁵|⁵⁵|⁵⁵|⁵⁵
397	Kayah	classifier for long objects	bo³³	bo³³	b o ³³		686	b o - ³³	b o ³³
693	Kayan	classifier for long objects	bɔ⁵³	bɔ⁵³	b ɔ ⁵³		686	b ɔ - ⁵³	b ɔ ⁵³
986	Kayaw	classifier for long objects	bo⁵⁵	bo⁵⁵	b o ⁵⁵		686	b o - ⁵⁵	b o ⁵⁵
1577	NorthernPwo	classifier for long objects	bɔ̃⁵⁵	bɔ̃⁵⁵	b ɔ̃ ⁵⁵		686	b ɔ̃ - ⁵⁵	b ɔ̃ ⁵⁵
1862	NorthernSgaw	classifier for long objects	bo³³	bo³³	b o ³³		686	b o - ³³	b o ³³
2441	SouthernPwo	classifier for long objects	bõ³¹ ̈	bõ³¹̈	b õ ɦ ³¹		686	b õ ɦ ³¹	b õ ɦ ³¹
2736	SouthernSgaw	classifier for long objects	bu⁵⁵	bu⁵⁵	b u ⁵⁵		686	b u - ⁵⁵	b u ⁵⁵
54	ProtoKaren	classifier for people, persons	*braᴬ	*braᴬ	b r a ⁵⁵		696	b r a - ⁵⁵	( b r a ⁵⁵ )
394	Kayah	classifier for people, persons	phre¹¹	phre¹¹	pʰ r e ¹¹		696	pʰ r e - ¹¹	pʰ r e ¹¹
690	Kayan	classifier for people, persons	pra³³	pra³³	p r a ³³		696	p r a - ³³	p r a ³³
983	Kayaw	classifier for people, persons	ra³³	ra³³	p r a ³³		696	p r a - ³³	p r a ³³
1295	NorthernPao	classifier for people, persons	phra³³	phra³³	pʰ r a ³³		696	pʰ r a - ³³	pʰ r a ³³
1573	NorthernPwo	classifier for people, persons	ɣa⁵⁵	ɣa⁵⁵	p ɣ a ⁵⁵		696	p ɣ a - ⁵⁵	p ɣ a ⁵⁵
1858	NorthernSgaw	classifier for people, persons	pɣa³³	pɣa³³	p ɣ a ³³		696	p ɣ a - ³³	p ɣ a ³³
2163	SouthernPao	classifier for people, persons	pra⁵³	pra⁵³	pʰ r a ⁵³		696	pʰ r a - ⁵³	pʰ r a ⁵³
2437	SouthernPwo	classifier for people, persons	ɣa³¹ ̈	ɣa³¹̈	p ɣ a ɦ ³¹		696	p ɣ a ɦ ³¹	p ɣ a ɦ ³¹
2732	SouthernSgaw	classifier for people, persons	ɣa³³	ɣa³³	p ɣ a ³³		696	p ɣ a - ³³	p ɣ a ³³
56	ProtoKaren	classifier for plants, e.g. bamboo, rice, banana etc. (clumps, clusters)	*khoᴮ	*khoᴮ	kʰ o ¹¹		709	kʰ o ¹¹	( kʰ o ¹¹ )
691	Kayan	classifier for plants, e.g. bamboo, rice, banana etc. (clumps, clusters)	khau¹¹	khau¹¹	kʰ au ¹¹		709	kʰ au ¹¹	kʰ au ¹¹
1575	NorthernPwo	classifier for plants, e.g. bamboo, rice, banana etc. (clumps, clusters)	khu³³	khu³³	kʰ u ³³		709	kʰ u ³³	kʰ u ³³
1860	NorthernSgaw	classifier for plants, e.g. bamboo, rice, banana etc. (clumps, clusters)	kho³¹῀	kho³¹῀	kʰ o ³¹		709	kʰ o ³¹	kʰ o ³¹
2439	SouthernPwo	classifier for plants, e.g. bamboo, rice, banana etc. (clumps, clusters)	khu⁵⁵	khu⁵⁵	kʰ u ⁵⁵		709	kʰ u ⁵⁵	kʰ u ⁵⁵
2734	SouthernSgaw	classifier for plants, e.g. bamboo, rice, banana etc. (clumps, clusters)	khu⁴⁵’	khu⁴⁵’	kʰ u ⁴⁵		709	kʰ u ⁴⁵	kʰ u ⁴⁵
60	ProtoKaren	close (one’s eyes)	*Ɂbiᴮ	*Ɂbiᴮ	ˀb i ¹¹		716	ˀb i ¹¹	( ˀb i ¹¹ )
695	Kayan	close (one’s eyes)	bi¹¹	bi¹¹	b i ¹¹		716	b i ¹¹	b i ¹¹
988	Kayaw	close (one’s eyes)	bi¹¹	bi¹¹	b i ¹¹		716	b i ¹¹	b i ¹¹
1579	NorthernPwo	close (one’s eyes)	bei³³	bei³³	b ei ³³		716	b ei ³³	b ei ³³
1864	NorthernSgaw	close (one’s eyes)	bi³¹῀	bi³¹῀	b ĩ ³¹		716	b ĩ ³¹	b ĩ ³¹
2443	SouthernPwo	close (one’s eyes)	bei⁵⁵	bei⁵⁵	b ei ⁵⁵		716	b ei ⁵⁵	b ei ⁵⁵
2738	SouthernSgaw	close (one’s eyes)	bi⁴⁵’	bi⁴⁵’	b i ⁴⁵		716	b i ⁴⁵	b i ⁴⁵
61	ProtoKaren	comb (v.)	*khwitᴰ	*khwitᴰ	kʰ w i t ⁵¹		725	kʰ w i t ⁵¹	kʰ|kʰ|kʰ|kʰ|kʰ w|w|w|w|w i|i|i|i|i t|t|t|t|t̚ ⁵¹|⁵¹|⁵¹|⁵¹|⁵¹
399	Kayah	comb (v.)	khwi⁵⁵	khwi⁵⁵	kʰ w i ⁵⁵		725	kʰ w i - ⁵⁵	kʰ w i ⁵⁵
696	Kayan	comb (v.)	khiɁ⁴⁵	khiɁ⁴⁵	kʰ w i ʔ ⁴⁵		725	kʰ w i ʔ ⁴⁵	kʰ w i ʔ ⁴⁵
989	Kayaw	comb (v.)	khi³³	khi³³	w i ³³		725	- w i - ³³	w i ³³
1298	NorthernPao	comb (v.)	khut²¹	khut²¹	w u t ²¹		725	- w u t ²¹	w u t ²¹
1580	NorthernPwo	comb (v.)	khwi³⁵	khwi³⁵	kʰ w i ³⁵		725	kʰ w i - ³⁵	kʰ w i ³⁵
1865	NorthernSgaw	comb (v.)	khwi³³	khwi³³	kʰ w i ³³		725	kʰ w i - ³³	kʰ w i ³³
2444	SouthernPwo	comb (v.)	khwi⁵³	khwi⁵³	kʰ w i ⁵³		725	kʰ w i - ⁵³	kʰ w i ⁵³
2739	SouthernSgaw	comb (v.)	khwi⁵⁵	khwi⁵⁵	kʰ w i ⁵⁵		725	kʰ w i - ⁵⁵	kʰ w i ⁵⁵
3022	WesternBwe	comb (v.)	khwi³³	khwi³³	kʰ w i ³³		725	kʰ w i - ³³	kʰ w i ³³
62	ProtoKaren	cotton thread	*hlowᴮ	*hlowᴮ	l̥ ou ¹¹		737	l̥ ou ¹¹	l|l|l|l|l ou|ou|ou|ou|ou ¹¹|¹¹|¹¹|¹¹|¹¹
400	Kayah	cotton thread	lo¹¹	lo¹¹	l o ¹¹		737	l o ¹¹	l o ¹¹
697	Kayan	cotton thread	lu¹¹	lu¹¹	l u ¹¹		737	l u ¹¹	l u ¹¹
990	Kayaw	cotton thread	lu¹¹	lu¹¹	l u ¹¹		737	l u ¹¹	l u ¹¹
1299	NorthernPao	cotton thread	lu⁵⁵	lu⁵⁵	l u ⁵⁵		737	l u ⁵⁵	l u ⁵⁵
1581	NorthernPwo	cotton thread	lou³³	lou³³	l ou ³³		737	l ou ³³	l ou ³³
1866	NorthernSgaw	cotton thread	lɨ³¹῀	lɨ³¹῀	l ɨ ³¹		737	l ɨ ³¹	l ɨ ³¹
2165	SouthernPao	cotton thread	lu³³	lu³³	l u ³³		737	l u ³³	l u ³³
2445	SouthernPwo	cotton thread	lou⁵⁵	lou⁵⁵	l ou ⁵⁵		737	l ou ⁵⁵	l ou ⁵⁵
2740	SouthernSgaw	cotton thread	lɨ⁴⁵’	lɨ⁴⁵’	l ɨ ⁴⁵		737	l ɨ ⁴⁵	l ɨ ⁴⁵
3023	WesternBwe	cotton thread	lu³³	lu³³	l u ³³		737	l u ³³	l u ³³
63	ProtoKaren	cough (v.)	*kukᴰ	*kukᴰ	kʰ u k̚ ⁵¹		750	kʰ u k̚ ⁵¹	( kʰ u k̚ ⁵¹ )
401	Kayah	cough (v.)	khɨ⁵⁵	khɨ⁵⁵	kʰ ɨ ⁵⁵		750	kʰ ɨ - ⁵⁵	kʰ ɨ ⁵⁵
698	Kayan	cough (v.)	khuɁ⁴⁵	khuɁ⁴⁵	kʰ u ʔ ⁴⁵		750	kʰ u ʔ ⁴⁵	kʰ u ʔ ⁴⁵
991	Kayaw	cough (v.)	khɨ³³	khɨ³³	kʰ ɨ ³³		750	kʰ ɨ - ³³	kʰ ɨ ³³
1300	NorthernPao	cough (v.)	(taɁ²¹he⁵⁵) khuk²¹	_khuk²¹	kʰ u k ²¹		750	kʰ u k ²¹	kʰ u k ²¹
1582	NorthernPwo	cough (v.)	kauɁ⁴⁵	kauɁ⁴⁵	kʰ au ʔ ⁴⁵		750	kʰ au ʔ ⁴⁵	kʰ au ʔ ⁴⁵
1867	NorthernSgaw	cough (v.)	kuɁ⁴⁵	kuɁ⁴⁵	kʰ u ʔ ⁴⁵		750	kʰ u ʔ ⁴⁵	kʰ u ʔ ⁴⁵
2446	SouthernPwo	cough (v.)	kɔuɁ³¹	kɔuɁ³¹	kʰ ɔu ʔ ³¹		750	kʰ ɔu ʔ ³¹	kʰ ɔu ʔ ³¹
2741	SouthernSgaw	cough (v.)	kɔuɁ²¹	kɔuɁ²¹	kʰ ɔu ʔ ²¹		750	kʰ ɔu ʔ ²¹	kʰ ɔu ʔ ²¹
3024	WesternBwe	cough (v.)	θə⁵⁵khu³³	θə⁵⁵khu³³	θ ə ⁵⁵ + kʰ u ³³		1540 750	θ ə ⁵⁵ + kʰ u - ³³	θ ə ⁵⁵ + kʰ u ³³
64	ProtoKaren	crab	*chwɛᴮ	*chwɛᴮ	cʰ w ɛ ¹¹		763	cʰ w ɛ ¹¹	( cʰ w ɛ ¹¹ )
402	Kayah	crab	chwa¹¹	chwa¹¹	cʰ w a ¹¹		763	cʰ w a ¹¹	cʰ w a ¹¹
699	Kayan	crab	chwɛ¹¹	chwɛ¹¹	cʰ w ɛ ¹¹		763	cʰ w ɛ ¹¹	cʰ w ɛ ¹¹
992	Kayaw	crab	chɛ¹¹	chɛ¹¹	cʰ ɛ ¹¹		763	cʰ - ɛ ¹¹	cʰ ɛ ¹¹
1301	NorthernPao	crab	chwɛ⁵⁵	chwɛ⁵⁵	cʰ w ɛ ⁵⁵		763	cʰ w ɛ ⁵⁵	cʰ w ɛ ⁵⁵
1583	NorthernPwo	crab	chwɛ³³	chwɛ³³	cʰ w ɛ ³³		763	cʰ w ɛ ³³	cʰ w ɛ ³³
1868	NorthernSgaw	crab	chwɛ³¹῀	chwɛ³¹῀	cʰ w ɛ ³¹		763	cʰ w ɛ ³¹	cʰ w ɛ ³¹
2166	SouthernPao	crab	chwɛ³³	chwɛ³³	cʰ w ɛ ³³		763	cʰ w ɛ ³³	cʰ w ɛ ³³
2447	SouthernPwo	crab	chwɛ⁵⁵	chwɛ⁵⁵	cʰ w ɛ ⁵⁵		763	cʰ w ɛ ⁵⁵	cʰ w ɛ ⁵⁵
2742	SouthernSgaw	crab	chwɛ⁴⁵’	chwɛ⁴⁵’	cʰ w ɛ ⁴⁵		763	cʰ w ɛ ⁴⁵	cʰ w ɛ ⁴⁵
3025	WesternBwe	crab	ʃwɛ³³	ʃwɛ³³	ʃ w ɛ ³³		763	ʃ w ɛ ³³	ʃ w ɛ ³³
65	ProtoKaren	cricket	*s-kiᴬ	*s-kiᴬ	s ə ⁰ + k i ⁵⁵		777 776	s ə ⁰ + k i - ⁵⁵	?s ?ə ?⁰ + ( k i ⁵⁵ )
403	Kayah	cricket	ki³³	ki³³	k i ³³		776	k i - ³³	k i ³³
700	Kayan	cricket	ki⁵³	ki⁵³	k i ⁵³		776	k i - ⁵³	k i ⁵³
993	Kayaw	cricket	(dɛ¹¹) ki⁵⁵	_ki⁵⁵	k i ⁵⁵		776	k i - ⁵⁵	k i ⁵⁵
1302	NorthernPao	cricket	ki³¹ ̈	ki³¹̈	k i ɦ ³¹		776	k i ɦ ³¹	k i ɦ ³¹
1869	NorthernSgaw	cricket	sə¹¹ki³³	sə¹¹ki³³	s ə ¹¹ + k i ³³		777 776	s ə ¹¹ + k i - ³³	s ə ¹¹ + k i ³³
2167	SouthernPao	cricket	ki³¹ ̈	ki³¹̈	k i ɦ ³¹		776	k i ɦ ³¹	k i ɦ ³¹
2743	SouthernSgaw	cricket	tə¹¹ki⁵⁵	tə¹¹ki⁵⁵	t ə ¹¹ + k i ⁵⁵		778 776	t ə ¹¹ + k i - ⁵⁵	t ə ¹¹ + k i ⁵⁵
66	ProtoKaren	crocodile	s-hmaᴮ	s-hmaᴮ	s ə ⁰ + m̥ a ¹¹		789 788	s ə ⁰ + m̥ a ¹¹	( s ə ⁰ ) + ( m̥ a ¹¹ )
994	Kayaw	crocodile	ma¹¹	ma¹¹	m a ¹¹		788	m a ¹¹	m a ¹¹
1584	NorthernPwo	crocodile	ma³³	ma³³	m a ³³		788	m a ³³	m a ³³
1870	NorthernSgaw	crocodile	sə³³ma³¹῀	sə³³ma³¹῀	s ə ³³ + m a ³¹		789 788	s ə ³³ + m a ³¹	s ə ³³ + m a ³¹
2448	SouthernPwo	crocodile	ma⁵⁵	ma⁵⁵	m a ⁵⁵		788	m a ⁵⁵	m a ⁵⁵
2744	SouthernSgaw	crocodile	ma⁴⁵’	ma⁴⁵’	m a ⁴⁵		788	m a ⁴⁵	m a ⁴⁵
3026	WesternBwe	crocodile	θə³³mɛ ³³	θə³³mɛ_³³	θ ə ³³ + m ɛ ³³		789 788	θ ə ³³ + m ɛ ³³	θ ə ³³ + m ɛ ³³
67	ProtoKaren	crop (of fowl), gizzard	*k-hniᴬ	*k-hniᴬ	k ə ⁰ + n̥ i ⁵⁵		800 801	k ə ⁰ + n̥ i ⁵⁵	k|k|k|k|g ə|ə|ə|ə|ə ⁰|⁰|⁰|⁰|⁰ + n|n|n|n̥|n̥ i|i|i|i|i ⁵⁵|⁵⁵|⁵⁵|⁵⁵|⁵⁵
404	Kayah	crop (of fowl), gizzard	kɛ³³ni³³	kɛ³³ni³³	k ɛ ³³ + n i ³³		800 801	k ɛ ³³ + n i ³³	k ɛ ³³ + n i ³³
995	Kayaw	crop (of fowl), gizzard	ki¹¹ni⁵⁵	ki¹¹ni⁵⁵	k i ¹¹ + n i ⁵⁵		800 801	k i ¹¹ + n i ⁵⁵	k i ¹¹ + n i ⁵⁵
1585	NorthernPwo	crop (of fowl), gizzard	nei³⁵	nei³⁵	n ei ³⁵		801	n ei ³⁵	n ei ³⁵
1871	NorthernSgaw	crop (of fowl), gizzard	kə¹¹ni³³	kə¹¹ni³³	k ə ¹¹ + n i ³³		800 801	k ə ¹¹ + n i ³³	k ə ¹¹ + n i ³³
2449	SouthernPwo	crop (of fowl), gizzard	nei⁵³	nei⁵³	n ei ⁵³		801	n ei ⁵³	n ei ⁵³
2745	SouthernSgaw	crop (of fowl), gizzard	ni⁵⁵	ni⁵⁵	n i ⁵⁵		801	n i ⁵⁵	n i ⁵⁵
3027	WesternBwe	crop (of fowl), gizzard	kə⁵⁵ni⁵⁵	kə⁵⁵ni⁵⁵	k ə ⁵⁵ + n i ⁵⁵		800 801	k ə ⁵⁵ + n i ⁵⁵	k ə ⁵⁵ + n i ⁵⁵
