ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	ALIGNMENT	QUINTILES
558	Bola	classifier for rope	khjɛʔ⁵⁵	khjɛʔ⁵⁵	kʰ j ɛ ʔ ⁵⁵		260	kʰ j - ɛ ʔ ⁵⁵	kʰ j ɛ ʔ ⁵⁵
559	Lashi	classifier for rope	khat⁵⁵	khat⁵⁵	kʰ a t ⁵⁵		260	kʰ - - a t ⁵⁵	kʰ a t ⁵⁵
560	Maru	classifier for rope	khjɛʔ⁵⁵	khjɛʔ⁵⁵	kʰ j ɛ ʔ ⁵⁵		260	kʰ j - ɛ ʔ ⁵⁵	kʰ j ɛ ʔ ⁵⁵
561	Bola	classifier for songs	khɛʔ⁵⁵	khɛʔ⁵⁵	kʰ ɛ ʔ ⁵⁵		251	kʰ ɛ ʔ ⁵⁵	kʰ ɛ ʔ ⁵⁵
562	Lashi	classifier for songs	khat⁵⁵	khat⁵⁵	kʰ a t ⁵⁵		253	kʰ a t ⁵⁵	kʰ a t ⁵⁵
563	AchangLongchuan	classifier for trees	tseŋ⁵⁵	tseŋ⁵⁵	ts e ŋ ⁵⁵		1132	ts e ŋ ⁵⁵	ts e ŋ ⁵⁵
564	Atsi	classifier for trees	kam⁵¹	kam⁵¹	k a m ⁵¹		144	k - a m ⁵¹	k a m ⁵¹
565	Bola	classifier for trees	kɛ̃⁵⁵	kɛ̃⁵⁵	k ɛ̃ ⁵⁵		144	k - ɛ̃ - ⁵⁵	k ɛ̃ ⁵⁵
566	Lashi	classifier for trees	kam³¹	kam³¹	k a m ³¹		144	k - a m ³¹	k a m ³¹
567	Maru	classifier for trees	kɛ̃³¹	kɛ̃³¹	k ɛ̃ ³¹		144	k - ɛ̃ - ³¹	k ɛ̃ ³¹
568	Xiandao	classifier for trees	tʂɯŋ⁵⁵	tʂɯŋ⁵⁵	ʈʂ ɯ ŋ ⁵⁵		1133	ʈʂ ɯ ŋ ⁵⁵	ʈʂ ɯ ŋ ⁵⁵
569	ProtoBurmish	classifier for trees	*gam	gam¹	g a m ¹		144	g - a m ¹	g|g|g|g|g -|-|-|-|- a|a|a|a|a m|m|m|m|m ¹|¹|¹|¹|¹
570	Maru	claw / talon	khjik⁵⁵ saŋ³⁵	khjik⁵⁵+saŋ³⁵	kʰ j i k ⁵⁵ + s a ŋ ³⁵		278 562	kʰ j i k ⁵⁵ + - s a ŋ ³⁵	kʰ j i k ⁵⁵ + s a ŋ ³⁵
571	Rangoon	claw / talon	tɕhe²²	tɕhe²²	tɕʰ e ²²		280	tɕʰ - e - ²²	tɕʰ e ²²
572	AchangLongchuan	claw / talon	tɕhi⁵⁵ phʐai⁵⁵	tɕhi⁵⁵+phʐai⁵⁵	tɕʰ i ⁵⁵ + pʰ ʐ ai ⁵⁵		274 562	tɕʰ i ⁵⁵ + pʰ ʐ ai - ⁵⁵	tɕʰ i ⁵⁵ + pʰ ʐ ai ⁵⁵
573	Xiandao	claw / talon	chi⁵⁵	chi⁵⁵	ch/tʃʰ i ⁵⁵		280	ch/tʃʰ - i - ⁵⁵	ch/tʃʰ i ⁵⁵
574	OldBurmese	claw / talon	lak sañḥ	lak+sañḥ	l a k + s a ñ/ɲ ḥ/⁵		3128 561	l a k + s a ñ/ɲ ḥ/⁵	l a k + s a ñ/ɲ ḥ/⁵
575	Atsi	claw / talon	san²¹	san²¹	s a n ²¹		562	- s a n ²¹	s a n ²¹
576	Bola	claw / talon	la̱ʔ³¹ saŋ³⁵	la̱ʔ³¹+saŋ³⁵	l a̱ ʔ ³¹ + s a ŋ ³⁵		3129 564	l a̱ ʔ ³¹ + s a ŋ ³⁵	l a̱ ʔ ³¹ + s a ŋ ³⁵
577	Lashi	claw / talon	lɔʔ³¹ sə̱ŋ⁵⁵	lɔʔ³¹+sə̱ŋ⁵⁵	l ɔ ʔ ³¹ + s ə̱ ŋ ⁵⁵		3130 562	l ɔ ʔ ³¹ + - s ə̱ ŋ ⁵⁵	l ɔ ʔ ³¹ + s ə̱ ŋ ⁵⁵
578	Atsi	clean	san²¹ seŋ⁵¹	san²¹+seŋ⁵¹	s a n ²¹ + s e ŋ ⁵¹		2167 188	s a n ²¹ + s - e ŋ ⁵¹	s a n ²¹ + s e ŋ ⁵¹
579	Rangoon	cliff	kɑ̃⁵⁵ pɑ⁵⁵ pjɑʔ⁴	kɑ̃⁵⁵+pɑ⁵⁵+pjɑʔ⁴	k ɑ̃ ⁵⁵ + p ɑ ⁵⁵ + p j ɑ ʔ ⁴		1795 31 1796	k ɑ̃ ⁵⁵ + p - ɑ - ⁵⁵ + p j ɑ ʔ ⁴	k ɑ̃ ⁵⁵ + p ɑ ⁵⁵ + p j ɑ ʔ ⁴
580	Atsi	cliff	kam²¹ pjo̱ʔ⁵⁵	kam²¹+pjo̱ʔ⁵⁵	k a m ²¹ + p j o̱ ʔ ⁵⁵		1797 31	k a m ²¹ + p j o̱ ʔ ⁵⁵	k a m ²¹ + p j o̱ ʔ ⁵⁵
581	Bola	cliff	pjaʔ³¹ tu̱i³⁵	pjaʔ³¹+tu̱i³⁵	p j a ʔ ³¹ + t u̱i ³⁵		31 1798	p j a ʔ ³¹ + t u̱i ³⁵	p j a ʔ ³¹ + t u̱i ³⁵
582	Maru	cliff	pjɔʔ³¹ kjat³¹	pjɔʔ³¹+kjat³¹	p j ɔ ʔ ³¹ + k j a t ³¹		31 1799	p j ɔ ʔ ³¹ + k j a t ³¹	p j ɔ ʔ ³¹ + k j a t ³¹
583	Xiandao	cliff	phʐa³⁵ xum³⁵	phʐa³⁵+xum³⁵	pʰ ʐ a ³⁵ + x u m ³⁵		31 1800	pʰ ʐ a - ³⁵ + x u m ³⁵	pʰ ʐ a ³⁵ + x u m ³⁵
584	AchangLongchuan	cliff	pum⁵⁵ ʐəŋ³¹	pum⁵⁵+ʐəŋ³¹	p u m ⁵⁵ + ʐ ə ŋ ³¹		53 526	p u m ⁵⁵ + ʐ ə ŋ ³¹	p u m ⁵⁵ + ʐ ə ŋ ³¹
585	ProtoBurmish	cliff	*bjak	bjak⁴	b j a k ⁴		31	b j a k ⁴	( b j a k ⁴ )
586	Rangoon	climb up (a tree)	tɛʔ⁴	tɛʔ⁴	t ɛ ʔ ⁴		59	t ɛ ʔ ⁴	t ɛ ʔ ⁴
587	AchangLongchuan	climb up (a tree)	tɔʔ⁵⁵	tɔʔ⁵⁵	t ɔ ʔ ⁵⁵		59	t ɔ ʔ ⁵⁵	t ɔ ʔ ⁵⁵
588	Atsi	climb up (a tree)	toʔ²¹	toʔ²¹	t o ʔ ²¹		59	t o ʔ ²¹	t o ʔ ²¹
589	Bola	climb up (a tree)	taʔ³¹	taʔ³¹	t a ʔ ³¹		59	t a ʔ ³¹	t a ʔ ³¹
590	Lashi	climb up (a tree)	tɔːʔ³¹	tɔːʔ³¹	t ɔː ʔ ³¹		59	t ɔː ʔ ³¹	t ɔː ʔ ³¹
591	Maru	climb up (a tree)	tɔʔ³¹	tɔʔ³¹	t ɔ ʔ ³¹		59	t ɔ ʔ ³¹	t ɔ ʔ ³¹
592	Xiandao	climb up (a tree)	tɔʔ⁵⁵	tɔʔ⁵⁵	t ɔ ʔ ⁵⁵		59	t ɔ ʔ ⁵⁵	t ɔ ʔ ⁵⁵
593	ProtoBurmish	climb up (a tree)	*dak	dak⁴	d a k ⁴		59	d a k ⁴	( d a k ⁴ )
594	Bola	close (a book)	pɔ̱ŋ³¹ kɛ̱ʔ⁵⁵	pɔ̱ŋ³¹+kɛ̱ʔ⁵⁵	p ɔ̱ ŋ ³¹ + k ɛ̱ ʔ ⁵⁵		3463 1611	p ɔ̱ ŋ ³¹ + k ɛ̱ ʔ ⁵⁵	p ɔ̱ ŋ ³¹ + k ɛ̱ ʔ ⁵⁵
595	Rangoon	close (an umbrella)	peʔ⁴	peʔ⁴	p e ʔ ⁴		506	p e ʔ ⁴	p e ʔ ⁴
596	Atsi	close (an umbrella)	phek⁵⁵	phek⁵⁵	pʰ e k ⁵⁵		506	pʰ e k ⁵⁵	pʰ e k ⁵⁵
597	Bola	close (an umbrella)	phak⁵⁵	phak⁵⁵	pʰ a k ⁵⁵		506	pʰ a k ⁵⁵	pʰ a k ⁵⁵
598	AchangLongchuan	cloth	ti³¹ tʂaŋ³¹	ti³¹+tʂaŋ³¹	t i ³¹ + ʈʂ a ŋ ³¹		102 2011	t i ³¹ + ʈʂ a ŋ ³¹	t i ³¹ + ʈʂ a ŋ ³¹
599	Atsi	clothing / garment	pu²¹	pu²¹	p u ²¹		49	p - u - ²¹	p u ²¹
600	Bola	clothing / garment	pu³¹	pu³¹	p u ³¹		49	p - u - ³¹	p u ³¹
601	Lashi	clothing / garment	pji³³	pji³³	p j i ³³		49	p j i - ³³	p j i ³³
602	OldBurmese	clothing / garment	aʔ wat	aʔ+wat	a ʔ + w a t		3277 661	a ʔ + w a t -	a ʔ + w a t
603	ProtoBurmish	clothing / garment	*wat	wat⁴	w a t ⁴		661	w a t ⁴	?w ?a ?t ?⁴
604	OldBurmese	cloudy, be (sky) / overcast	muiwḥ umʔ	mui̯ḥ+umʔ	m ui̯ ḥ/⁵ + u m ʔ		464 2832	m ui̯ - ḥ/⁵ + u m ʔ	m ui̯ ḥ/⁵ + u m ʔ
605	Rangoon	cloudy, be (sky) / overcast	mo⁵⁵ õ⁵³	mo⁵⁵+õ⁵³	m o ⁵⁵ + õ ⁵³		464 2833	m o - ⁵⁵ + õ ⁵³	m o ⁵⁵ + õ ⁵³
606	AchangLongchuan	cloudy, be (sky) / overcast	mau³¹ tʂau³⁵	mau³¹+tʂau³⁵	m au ³¹ + ʈʂ au ³⁵		464 2834	m au - ³¹ + ʈʂ au ³⁵	m au ³¹ + ʈʂ au ³⁵
607	Atsi	cloudy, be (sky) / overcast	mau²¹ tsau⁵⁵	mau²¹+tsau⁵⁵	m au ²¹ + ts au ⁵⁵		464 2835	m au - ²¹ + ts au ⁵⁵	m au ²¹ + ts au ⁵⁵
608	Bola	cloudy, be (sky) / overcast	mau³¹ tap⁵⁵	mau³¹+tap⁵⁵	m au ³¹ + t a p ⁵⁵		464 2836	m au - ³¹ + t a p ⁵⁵	m au ³¹ + t a p ⁵⁵
609	Lashi	cloudy, be (sky) / overcast	mou³³ tsaːu⁵⁵	mou³³+tsaːu⁵⁵	m ou ³³ + ts aːu ⁵⁵		464 2837	m ou - ³³ + ts aːu ⁵⁵	m ou ³³ + ts aːu ⁵⁵
610	Maru	cloudy, be (sky) / overcast	muk⁵⁵ tap³¹	muk⁵⁵+tap³¹	m u k ⁵⁵ + t a p ³¹		464 2838	m u k ⁵⁵ + t a p ³¹	m u k ⁵⁵ + t a p ³¹
611	Xiandao	cloudy, be (sky) / overcast	mau³¹ tau³¹	mau³¹+tau³¹	m au ³¹ + t au ³¹		464 2839	m au - ³¹ + t au ³¹	m au ³¹ + t au ³¹
612	Rangoon	coal	tɕɑuʔ⁴ mi⁵⁵ tθwe⁵⁵	tɕɑuʔ⁴+mi⁵⁵+tθwe⁵⁵	tɕ ɑu ʔ ⁴ + m i ⁵⁵ + tθ w e ⁵⁵		2691 386 2692	tɕ ɑu ʔ ⁴ + m i - ⁵⁵ + tθ w e ⁵⁵	tɕ ɑu ʔ ⁴ + m i ⁵⁵ + tθ w e ⁵⁵
613	AchangLongchuan	coal	mei³¹	mei³¹	m ei ³¹		386	m ei - ³¹	m ei ³¹
614	Atsi	coal	a²¹ jo²¹ mji²¹ xə²¹	a²¹+jo²¹+mji²¹+xə²¹	a ²¹ + j o ²¹ + m j i ²¹ + x ə ²¹		2693 2694 1369 2695	a ²¹ + j o ²¹ + m j i ²¹ + x ə ²¹	a ²¹ + j o ²¹ + m j i ²¹ + x ə ²¹
615	Bola	coal	mɛʔ³¹	mɛʔ³¹	m ɛ ʔ ³¹		386	m ɛ ʔ ³¹	m ɛ ʔ ³¹
616	Maru	coal	mɛʔ³¹	mɛʔ³¹	m ɛ ʔ ³¹		386	m ɛ ʔ ³¹	m ɛ ʔ ³¹
617	Rangoon	cock	tɕɛʔ⁴ phɑ⁵³	tɕɛʔ⁴+phɑ⁵³	tɕ ɛ ʔ ⁴ + pʰ ɑ ⁵³		3040 501	tɕ ɛ ʔ ⁴ + pʰ ɑ - ⁵³	tɕ ɛ ʔ ⁴ + pʰ ɑ ⁵³
618	AchangLongchuan	cock	kʐuaʔ⁵⁵ lɔ³¹	kʐwaʔ⁵⁵+lɔ³¹	k ʐ w a ʔ ⁵⁵ + l ɔ ³¹		3041 331	k ʐ w a ʔ ⁵⁵ + l ɔ ³¹	k ʐ w a ʔ ⁵⁵ + l ɔ ³¹
619	Atsi	cock	voʔ²¹ pho⁵⁵	voʔ²¹+pho⁵⁵	v o ʔ ²¹ + pʰ o ⁵⁵		3042 501	v o ʔ ²¹ + pʰ o - ⁵⁵	v o ʔ ²¹ + pʰ o ⁵⁵
620	Bola	cock	ɣaʔ³¹ pha³⁵	ɣaʔ³¹+pha³⁵	ɣ a ʔ ³¹ + pʰ a ³⁵		3043 500	ɣ a ʔ ³¹ + pʰ a ³⁵	ɣ a ʔ ³¹ + pʰ a ³⁵
621	Lashi	cock	kjoʔ³¹ pho⁵³	kjoʔ³¹+pho⁵³	k j o ʔ ³¹ + pʰ o ⁵³		3044 501	k j o ʔ ³¹ + pʰ o - ⁵³	k j o ʔ ³¹ + pʰ o ⁵³
622	Maru	cock	ɣɔʔ³¹ phɔ⁵⁵	ɣɔʔ³¹+phɔ⁵⁵	ɣ ɔ ʔ ³¹ + pʰ ɔ ⁵⁵		3045 500	ɣ ɔ ʔ ³¹ + pʰ ɔ ⁵⁵	ɣ ɔ ʔ ³¹ + pʰ ɔ ⁵⁵
623	Xiandao	cock	kʐɔʔ⁵⁵ phɔ³¹	kʐɔʔ⁵⁵+phɔ³¹	k ʐ ɔ ʔ ⁵⁵ + pʰ ɔ ³¹		3046 1458	k ʐ ɔ ʔ ⁵⁵ + pʰ ɔ ³¹	k ʐ ɔ ʔ ⁵⁵ + pʰ ɔ ³¹
624	Rangoon	collar	kɔ²² lɑ²²	kɔ²²+lɑ²²	k ɔ ²² + l ɑ ²²		2633 1348	k ɔ ²² + l ɑ ²²	k ɔ ²² + l ɑ ²²
625	Atsi	collar	pu²¹ lin⁵¹ tsiŋ²¹	pu²¹+lin⁵¹+tsiŋ²¹	p u ²¹ + l i n ⁵¹ + ts i ŋ ²¹		2634 1349 2635	p u ²¹ + l i n ⁵¹ + ts i ŋ ²¹	p u ²¹ + l i n ⁵¹ + ts i ŋ ²¹
626	Bola	collar	pŭ³¹ laŋ⁵⁵ taŋ³¹	pŭ³¹+laŋ⁵⁵+taŋ³¹	p ŭ ³¹ + l a ŋ ⁵⁵ + t a ŋ ³¹		2636 1350 2637	p ŭ ³¹ + l a ŋ ⁵⁵ + t a ŋ ³¹	p ŭ ³¹ + l a ŋ ⁵⁵ + t a ŋ ³¹
627	Lashi	collar	pji³³ ləŋ³¹	pji³³+ləŋ³¹	p j i ³³ + l ə ŋ ³¹		2638 1351	p j i ³³ + l ə ŋ ³¹	p j i ³³ + l ə ŋ ³¹
628	Maru	collar	pau³⁵ laŋ³¹	pau³⁵+laŋ³¹	p au ³⁵ + l a ŋ ³¹		2639 1352	p au ³⁵ + l a ŋ ³¹	p au ³⁵ + l a ŋ ³¹
629	AchangLongchuan	collar	tse³¹ xɔ³¹ sə³¹	tse³¹+xɔ³¹+sə³¹	ts e ³¹ + x ɔ ³¹ + s ə ³¹		3456 1608 3457	ts e ³¹ + x ɔ ³¹ + s ə ³¹	ts e ³¹ + x ɔ ³¹ + s ə ³¹
630	Xiandao	collar	tsi³¹ xʐoʔ⁵⁵	tsi³¹+xʐoʔ⁵⁵	ts i ³¹ + x ʐ o ʔ ⁵⁵		3458 1609	ts i ³¹ + x ʐ o ʔ ⁵⁵	ts i ³¹ + x ʐ o ʔ ⁵⁵
631	Atsi	comb	kjo̱ʔ⁵⁵	kjo̱ʔ⁵⁵	k j o̱ ʔ ⁵⁵		192	k j o̱ ʔ ⁵⁵	k j o̱ ʔ ⁵⁵
632	Bola	comb	kja̱ʔ⁵⁵	kja̱ʔ⁵⁵	k j a̱ ʔ ⁵⁵		192	k j a̱ ʔ ⁵⁵	k j a̱ ʔ ⁵⁵
633	Lashi	comb	wo̱⁵⁵ kjɔ̱ʔ⁵⁵	wo̱⁵⁵+kjɔ̱ʔ⁵⁵	w o̱ ⁵⁵ + k j ɔ̱ ʔ ⁵⁵		3471 192	w o̱ ⁵⁵ + k j ɔ̱ ʔ ⁵⁵	w o̱ ⁵⁵ + k j ɔ̱ ʔ ⁵⁵
634	Lashi	comb	kjɔ̱ːʔ⁵⁵	kjɔ̱ːʔ⁵⁵	k j ɔ̱ː ʔ ⁵⁵		1618	k j ɔ̱ː ʔ ⁵⁵	k j ɔ̱ː ʔ ⁵⁵
635	Maru	comb	kjɔ̱ʔ⁵⁵	kjɔ̱ʔ⁵⁵	k j ɔ̱ ʔ ⁵⁵		1619	k j ɔ̱ ʔ ⁵⁵	k j ɔ̱ ʔ ⁵⁵
636	Rangoon	comb	bi⁵⁵	bi⁵⁵	b i ⁵⁵		864	b - i ⁵⁵	b i ⁵⁵
637	Rangoon	comb	phji⁵⁵	phji⁵⁵	pʰ j i ⁵⁵		864	pʰ j i ⁵⁵	pʰ j i ⁵⁵
638	AchangLongchuan	comb	phʐa³¹	phʐa³¹	pʰ ʐ a ³¹		864	pʰ ʐ a ³¹	pʰ ʐ a ³¹
639	Atsi	comb	pje̱²¹	pje̱²¹	p j e̱ ²¹		864	p j e̱ ²¹	p j e̱ ²¹
640	Bola	comb	pjɛ̱³⁵	pjɛ̱³⁵	p j ɛ̱ ³⁵		866	p j ɛ̱ ³⁵	p j ɛ̱ ³⁵
641	Maru	comb	pjɛ̱³⁵	pjɛ̱³⁵	p j ɛ̱ ³⁵		864	p j ɛ̱ ³⁵	p j ɛ̱ ³⁵
642	Xiandao	comb	phɛ³¹	phɛ³¹	pʰ ɛ ³¹		864	pʰ - ɛ ³¹	pʰ ɛ ³¹
643	ProtoBurmish	comb	*ʔkjak	ˀkjak⁴	ˀk j a k ⁴		192	ˀk j a k ⁴	( ˀk j a k ⁴ )
644	ProtoBurmish	comb	*ʔprɛH	ˀprɛ²	ˀp r ɛ ²		864	ˀp r ɛ ²	ˀp|ˀp|ˀp|ˀp|ˀp r|r|r|r|j ɛ|ɛ|ɛ|ɛ|ɛ ²|²|²|²|²
645	ProtoBurmish	comb	*ʔpjɛX	ˀpjɛ³	ˀp j ɛ ³		866	ˀp j ɛ ³	?ˀp ?j ?ɛ ?³
646	AchangLongchuan	come loose (shoelace)	pək⁵⁵	pək⁵⁵	p ə k ⁵⁵		29	p ə k ⁵⁵	p ə k ⁵⁵
647	Atsi	come loose (shoelace)	pɤk²¹	pɤk²¹	p ɤ k ²¹		985	p ɤ k ²¹	p ɤ k ²¹
648	Bola	come loose (shoelace)	pəi⁵⁵	pəi⁵⁵	p əi ⁵⁵		986	p əi ⁵⁵	p əi ⁵⁵
649	Lashi	come loose (shoelace)	pɔːi³¹	pɔːi³¹	p ɔːi ³¹		987	p ɔːi ³¹	p ɔːi ³¹
650	Maru	come loose (shoelace)	pak³¹	pak³¹	p a k ³¹		988	p a k ³¹	p a k ³¹
651	Xiandao	come loose (shoelace)	pi⁵⁵	pi⁵⁵	p i ⁵⁵		29	p i - ⁵⁵	p i ⁵⁵
652	Bola	compare	thaʔ⁵⁵	thaʔ⁵⁵	tʰ a ʔ ⁵⁵		1507	tʰ a ʔ ⁵⁵	tʰ a ʔ ⁵⁵
653	Maru	compare	thɔʔ⁵⁵	thɔʔ⁵⁵	tʰ ɔ ʔ ⁵⁵		316	tʰ - ɔ ʔ ⁵⁵	tʰ ɔ ʔ ⁵⁵
654	Atsi	conform (cause to) / satisfy	lo̱ʔ⁵⁵ tʃo²¹	lo̱ʔ⁵⁵+tʃo²¹	l o̱ ʔ ⁵⁵ + tʃ o ²¹		822 3548	l o̱ ʔ ⁵⁵ + tʃ o ²¹	l o̱ ʔ ⁵⁵ + tʃ o ²¹
655	Bola	conform (cause to) / satisfy	la̱ʔ⁵⁵ tʃɔ³¹	la̱ʔ⁵⁵+tʃɔ³¹	l a̱ ʔ ⁵⁵ + tʃ ɔ ³¹		822 3549	l a̱ ʔ ⁵⁵ + tʃ ɔ ³¹	l a̱ ʔ ⁵⁵ + tʃ ɔ ³¹
656	Atsi	consult / discuss	phje⁵⁵	phje⁵⁵	pʰ j e ⁵⁵		514	pʰ j e ⁵⁵	pʰ j e ⁵⁵
657	Bola	consult / discuss	phjɛ³⁵	phjɛ³⁵	pʰ j ɛ ³⁵		514	pʰ j ɛ ³⁵	pʰ j ɛ ³⁵
658	Lashi	consult / discuss	phjɛː⁵³	phjɛː⁵³	pʰ j ɛː ⁵³		514	pʰ j ɛː ⁵³	pʰ j ɛː ⁵³
659	Maru	consult / discuss	phjɛ⁵⁵	phjɛ⁵⁵	pʰ j ɛ ⁵⁵		514	pʰ j ɛ ⁵⁵	pʰ j ɛ ⁵⁵
660	ProtoBurmish	consult / discuss	*pjɛX	pjɛ³	p j ɛ ³		514	p j ɛ ³	( p j ɛ ³ )
661	Bola	container for measuring grain (=1 decaliter)	puŋ³¹	puŋ³¹	p u ŋ ³¹		57	p u ŋ ³¹	p u ŋ ³¹
662	Lashi	container for measuring grain (=1 decaliter)	puŋ³¹	puŋ³¹	p u ŋ ³¹		57	p u ŋ ³¹	p u ŋ ³¹
663	Rangoon	cooked, be (rice) / done	tɕɛʔ⁴	tɕɛʔ⁴	tɕ ɛ ʔ ⁴		684	- tɕ ɛ ʔ ⁴	tɕ ɛ ʔ ⁴
664	AchangLongchuan	cooked, be (rice) / done	tʂuaʔ⁵⁵	tʂwaʔ⁵⁵	ʈʂ w a ʔ ⁵⁵		126	ʈʂ w a ʔ ⁵⁵	ʈʂ w a ʔ ⁵⁵
665	Atsi	cooked, be (rice) / done	ŋjoʔ²¹	ŋjoʔ²¹	ŋ j o ʔ ²¹		684	ŋ j o ʔ ²¹	ŋ j o ʔ ²¹
666	Bola	cooked, be (rice) / done	ŋjaʔ³¹	ŋjaʔ³¹	ŋ j a ʔ ³¹		684	ŋ j a ʔ ³¹	ŋ j a ʔ ³¹
667	Lashi	cooked, be (rice) / done	ŋjɔːʔ³¹	ŋjɔːʔ³¹	ŋ j ɔː ʔ ³¹		684	ŋ j ɔː ʔ ³¹	ŋ j ɔː ʔ ³¹
668	Maru	cooked, be (rice) / done	ŋjɔʔ³¹	ŋjɔʔ³¹	ŋ j ɔ ʔ ³¹		684	ŋ j ɔ ʔ ³¹	ŋ j ɔ ʔ ³¹
669	Xiandao	cooked, be (rice) / done	tʂɔʔ⁵⁵	tʂɔʔ⁵⁵	ʈʂ ɔ ʔ ⁵⁵		684	- ʈʂ ɔ ʔ ⁵⁵	ʈʂ ɔ ʔ ⁵⁵
670	ProtoBurmish	cooked, be (rice) / done	*ŋjak	ŋjak⁴	ŋ j a k ⁴		684	ŋ j a k ⁴	( ŋ j a k ⁴ )
671	AchangLongchuan	corpse	ʂɿ⁵⁵ mʐuaŋ⁵⁵	ʂɿ⁵⁵+mʐwaŋ⁵⁵	ʂ ɿ ⁵⁵ + m ʐ w a ŋ ⁵⁵		742 389	ʂ ɿ ⁵⁵ + m ʐ w a ŋ ⁵⁵	ʂ ɿ ⁵⁵ + m ʐ w a ŋ ⁵⁵
672	Atsi	corpse	maŋ⁵¹	maŋ⁵¹	m a ŋ ⁵¹		388	m a ŋ ⁵¹	m a ŋ ⁵¹
673	Bola	corpse	mɔ̃⁵⁵	mɔ̃⁵⁵	m ɔ̃ ⁵⁵		388	m ɔ̃ - ⁵⁵	m ɔ̃ ⁵⁵
674	Lashi	corpse	maŋ³¹	maŋ³¹	m a ŋ ³¹		388	m a ŋ ³¹	m a ŋ ³¹
675	Maru	corpse	mɔ̃³¹	mɔ̃³¹	m ɔ̃ ³¹		388	m ɔ̃ - ³¹	m ɔ̃ ³¹
676	Xiandao	corpse	tʂu⁵⁵ mɔŋ⁵⁵	tʂu⁵⁵+mɔŋ⁵⁵	ʈʂ u ⁵⁵ + m ɔ ŋ ⁵⁵		2696 1370	ʈʂ u ⁵⁵ + m ɔ ŋ ⁵⁵	ʈʂ u ⁵⁵ + m ɔ ŋ ⁵⁵
677	OldBurmese	cough	khyo₂ṅḥ chuiwḥ	khjOṅḥ+chui̯ḥ	kʰ j o₂/ɔ ṅ/ŋ ḥ/⁵ + ch/tʃʰ ui̯ ḥ/⁵		808 615	kʰ j o₂/ɔ ṅ/ŋ ḥ/⁵ + ch/tʃʰ ui̯ - ḥ/⁵	kʰ j o₂/ɔ ṅ/ŋ ḥ/⁵ + ch/tʃʰ ui̯ ḥ/⁵
678	Rangoon	cough	tɕhɑ̃u⁵⁵ sho⁵⁵	tɕhɑ̃u⁵⁵+sho⁵⁵	tɕʰ ɑ̃u ⁵⁵ + sʰ o ⁵⁵		804 618	- tɕʰ ɑ̃u - ⁵⁵ + sʰ o - ⁵⁵	tɕʰ ɑ̃u ⁵⁵ + sʰ o ⁵⁵
679	AchangLongchuan	cough	khʐɔŋ³¹ tʂhau³¹	khʐɔŋ³¹+tʂhau³¹	kʰ ʐ ɔ ŋ ³¹ + ʈʂʰ au ³¹		616 804	kʰ ʐ ɔ ŋ ³¹ + - ʈʂʰ au - ³¹	kʰ ʐ ɔ ŋ ³¹ + ʈʂʰ au ³¹
680	Atsi	cough	khjuŋ²¹ tsa̱u²¹	khjuŋ²¹+tsa̱u²¹	kʰ j u ŋ ²¹ + ts a̱u ²¹		804 618	kʰ j u ŋ ²¹ + ts a̱u - ²¹	kʰ j u ŋ ²¹ + ts a̱u ²¹
681	Bola	cough	khjauŋ³⁵ ta̱u³¹ ta̱u³¹	khjauŋ³⁵+ta̱u³¹+ta̱u³¹	kʰ j au ŋ ³⁵ + t a̱u ³¹ + t a̱u ³¹		804 618 3226	kʰ j au ŋ ³⁵ + t a̱u - ³¹ + t a̱u ³¹	kʰ j au ŋ ³⁵ + t a̱u ³¹ + t a̱u ³¹
682	Lashi	cough	khjuŋ⁵⁵ tsa̱ːu⁵⁵	khjuŋ⁵⁵+tsa̱ːu⁵⁵	kʰ j u ŋ ⁵⁵ + ts a̱ːu ⁵⁵		804 618	kʰ j u ŋ ⁵⁵ + ts a̱ːu - ⁵⁵	kʰ j u ŋ ⁵⁵ + ts a̱ːu ⁵⁵
683	Maru	cough	khjauŋ³⁵ tsu̱k⁵⁵	khjauŋ³⁵+tsu̱k⁵⁵	kʰ j au ŋ ³⁵ + ts u̱ k ⁵⁵		803 615	kʰ j au ŋ ³⁵ + ts u̱ k ⁵⁵	kʰ j au ŋ ³⁵ + ts u̱ k ⁵⁵
684	Xiandao	cough	khʐoŋ³¹ tʂhau³¹	khʐoŋ³¹+tʂhau³¹	kʰ ʐ o ŋ ³¹ + ʈʂʰ au ³¹		804 618	kʰ ʐ o ŋ ³¹ + ʈʂʰ au - ³¹	kʰ ʐ o ŋ ³¹ + ʈʂʰ au ³¹
685	ProtoBurmish	cough	*ʔtsuH	ˀtsu²	ˀts u ²		615	ˀts u - ²	( ˀts u ² )
686	ProtoBurmish	cough	*tʃuH	tʃu²	tʃ u ²		618	tʃ u - ²	d|d|d|d|tʃ u|u|u|u|u -|-|-|-|- ²|²|²|²|²
687	ProtoBurmish	cough	*kjuŋH	kjuŋ²	k j u ŋ ²		803	k j u ŋ ²	?k ?j ?u ?ŋ ?²
688	ProtoBurmish	cough	*kruŋH	kruŋ²	k r u ŋ ²		804	k r u ŋ ²	k|k|k|k|k j|j|j|j|j u|u|u|u|a ŋ|ŋ|ŋ|ŋ|ŋ ²|²|²|²|²
