ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT	STRUCTURE	COGIDS
6692	Kaxinawa	field	bai	bai	b a i	None	471	b a i -	C V V	471
6688	Shanenawa	field	faj	faj	f a i	None	471	f a i -	C V V	471
3562	Amawaka	finger	mɨtõti	mɨtõti	m ɨ t o t i	None	164	m ɨ t o t i	C V C V C V	164
3557	Chakobo	finger	mɨtotí	mɨtotí	m ɨ t o t i	None	164	m ɨ t o t i	C V C V C V	164
3558	Chaninawa	finger	mɨtoti	mɨtoti	m ɨ t o t i	None	164	m ɨ t o t i	C V C V C V	164
3554	Kakataibo	finger	mɨtoti	mɨtoti	m ɨ t o t i	None	164	m ɨ t o t i	C V C V C V	164
3556	Kapanawa	finger	mɨtoti	mɨtoti	m ɨ t o t i	None	164	m ɨ t o t i	C V C V C V	164
3563	Kaxinawa	finger	mɨtuti	mɨtuti	m ɨ t u t i	None	164	m ɨ t u t i	C V C V C V	164
3564	Marinawa	finger	mɨ́t́ótí	mɨ́t́ótí	m ɨ t o t i	None	164	m ɨ t o t i	C V C V C V	164
3553	ProtoPanoan	finger	mɨtoti	mɨtoti	m ɨ t o t i	None	164	m ɨ t o t i	C V C V C V	164
3561	Shanenawa	finger	mɨtɨti	mɨtɨti	m ɨ t ɨ t i	None	164	m ɨ t ɨ t i	C V C V C V	164
3559	Sharanawa	finger	mɨtoti	mɨtoti	m ɨ t o t i	None	164	m ɨ t o t i	C V C V C V	164
3555	ShipiboKonibo	finger	mɨtoti	mɨtoti	m ɨ t o t i	None	164	m ɨ t o t i	C V C V C V	164
3565	Yawanawa	finger	mɨtuti	mɨtuti	m ɨ t u t i	None	164	m ɨ t u t i	C V C V C V	164
3507	Amawaka	fingernail	mɨntsís	mɨntsís	m ɨ n ts i s	None	158	m ɨ n ts i s	C V C C V C	158
3494	Chakobo	fingernail	ˈmɨtsis	ˈmɨtsis	m ɨ ts i s	None	158	m ɨ - ts i s	C V C V C	158
3500	Chaninawa	fingernail	bitsis	bitsis	b i ts i s	None	158	b i - ts i s	C V C V C	158
3487	Kakataibo	fingernail	untsis	untsis	u n ts i s	None	158	- u n ts i s	V C C V C	158
3492	Kapanawa	fingernail	mɨntsís	mɨntsís	m ɨ n ts i s	None	158	m ɨ n ts i s	C V C C V C	158
3505	Katukina	fingernail	məˈ̃tʃiʃi	məˈ̃tʃiʃi	m ə ∼ tʃ i ʃ	None	158	m ə ∼ tʃ i ʃ	C V C C V C	158
3497	Kaxarari	fingernail	mɨtʃiˈsi	mɨtʃiˈsi	m ɨ tʃ i s	None	158	m ɨ - tʃ i s	C V C V C	158
3509	Kaxinawa	fingernail	mɨtsís	mɨtsís	m ɨ ts i s	None	158	m ɨ - ts i s	C V C V C	158
3510	Marinawa	fingernail	mɨtsisi	mɨtsisi	m ɨ ts i s	None	158	m ɨ - ts i s	C V C V C	158
3493	Marubo	fingernail	mɨ̃ˈtsisi	mɨ̃ˈtsisi	m ɨ ∼ ts i s	None	158	m ɨ ∼ ts i s	C V C C V C	158
3513	Matis	fingernail	mɨntis	mɨntis	m ɨ n t i s	None	158	m ɨ n t i s	C V C C V C	158
3514	Mayoruna	fingernail	mɨnˈtsis	mɨnˈtsis	m ɨ n ts i s	None	158	m ɨ n ts i s	C V C C V C	158
3486	ProtoPanoan	fingernail	mɨtsis	mɨtsis	m ɨ ts i s	None	158	m ɨ - ts i s	C V C V C	158
3504	Shanenawa	fingernail	mɨtʃiʃi	mɨtʃiʃi	m ɨ tʃ i ʃ	None	158	m ɨ - tʃ i ʃ	C V C V C	158
3502	Sharanawa	fingernail	mɨtsisi	mɨtsisi	m ɨ ts i s	None	158	m ɨ - ts i s	C V C V C	158
3490	ShipiboKonibo	fingernail	mɨntsís	mɨntsís	m ɨ n ts i s	None	158	m ɨ n ts i s	C V C C V C	158
3498	Yaminawa	fingernail	mitsis	mitsis	m i ts i s	None	158	m i - ts i s	C V C V C	158
3511	Yawanawa	fingernail	mɨtsisi	mɨtsisi	m ɨ ts i s	None	158	m ɨ - ts i s	C V C V C	158
4300	Amawaka	fingernail	hõtsis_I	hõtsis_I	h o ts i s	None	224	h o ts i s	C V C V C	224
1870	Amawaka	fire	tʃiʔi	tʃiʔi	tʃ i ʔ i	II	29	tʃ i ʔ i	C V C V	29
1861	Chakobo	fire	tʃiʔi	tʃiʔi	tʃ i ʔ i	None	29	tʃ i ʔ i	C V C V	29
1865	Chaninawa	fire	tʃii	tʃii	tʃ i i	None	29	tʃ i - i	C V V	29
1856	Kakataibo	fire	tʃii	tʃii	tʃ i i	None	29	tʃ i - i	C V V	29
1859	Kapanawa	fire	tʃiʔi	tʃiʔi	tʃ i ʔ i	None	29	tʃ i ʔ i	C V C V	29
1869	Katukina	fire	tʃiˈiʔ	tʃiˈiʔ	tʃ i i	None	29	tʃ i - i	C V V	29
1862	Kaxarari	fire	tʃiˈʔi	tʃiˈʔi	tʃ i ʔ i	None	29	tʃ i ʔ i	C V C V	29
1871	Kaxinawa	fire	tʃi	tʃi	tʃ i	None	29	tʃ i - -	C V	29
1872	Marinawa	fire	tʃi	tʃi	tʃ i	None	29	tʃ i - -	C V	29
1860	Marubo	fire	tʃiʔ	tʃiʔ	tʃ i ʔ	None	29	tʃ i ʔ -	C V C	29
1855	ProtoPanoan	fire	tʃiʔi	tʃiʔi	tʃ i ʔ i	None	29	tʃ i ʔ i	C V C V	29
1868	Shanenawa	fire	tʃi	tʃi	tʃ i	None	29	tʃ i - -	C V	29
1866	Sharanawa	fire	tʃii	tʃii	tʃ i i	None	29	tʃ i - i	C V V	29
1857	ShipiboKonibo	fire	tʃií	tʃií	tʃ i i	None	29	tʃ i - i	C V V	29
1863	Yaminawa	fire	tʃii	tʃii	tʃ i i	None	29	tʃ i - i	C V V	29
1873	Yawanawa	fire	tʃi	tʃi	tʃ i	None	29	tʃ i - -	C V	29
1885	Amawaka	fire powder	tʃiʔi_mapo_I	tʃiʔi_mapo_I	tʃ i ʔ i m a p o	None	30	tʃ i ʔ i m a p o	C V C V C V C V	30
1881	Chaninawa	fire powder	bapo	bapo	b a p o	None	30	- - - - b a p o	C V C V	30
1875	Kakataibo	fire powder	tʃimapo	tʃimapo	tʃ i m a p o	None	30	tʃ i - - m a p o	C V C V C V	30
1878	Kapanawa	fire powder	tʃiʔi_mápo	tʃiʔi_mápo	tʃ i ʔ i m a p o	None	30	tʃ i ʔ i m a p o	C V C V C V C V	30
1879	Kaxarari	fire powder	mapɯˈʔɯ	mapɯˈʔɯ	m a p ɯ	None	30	- - - - m a p ɯ	C V C V	30
1886	Kaxinawa	fire powder	tʃimapu	tʃimapu	tʃ i m a p u	None	30	tʃ i - - m a p u	C V C V C V	30
1887	Marinawa	fire powder	tʃímapõ	tʃímapõ	tʃ i m a p o	None	30	tʃ i - - m a p o	C V C V C V	30
1889	Matis	fire powder	tʃismapuk	tʃismapuk	tʃ i m a p u	None	30	tʃ i - - m a p u	C V C V C V	30
1874	ProtoPanoan	fire powder	tʃiʔi_mapo	tʃiʔi_mapo	tʃ i ʔ i m a p o	None	30	tʃ i ʔ i m a p o	C V C V C V C V	30
1884	Shanenawa	fire powder	mapu	mapu	m a p u	None	30	- - - - m a p u	C V C V	30
1882	Sharanawa	fire powder	mapo	mapo	m a p o	None	30	- - - - m a p o	C V C V	30
1876	ShipiboKonibo	fire powder	tʃií_mapó	tʃií_mapó	tʃ i i m a p o	None	30	tʃ i - i m a p o	C V V C V C V	30
3293	Mayoruna	fire powder	isisapuk	isisapuk	a p u k	None	140	- a p u k	V C V C	140
2854	Chakobo	firefly	kokiˈna	kokiˈna	k o k i	None	104	k o k i -	C V C V	104
2851	Kakataibo	firefly	koki	koki	k o k i	None	104	k o k i -	C V C V	104
2853	Kapanawa	firefly	koʔkiʃ	koʔkiʃ	k o k i ʃ	None	104	k o k i ʃ	C V C V C	104
2859	Kaxinawa	firefly	kukiʃ	kukiʃ	k u k i ʃ	None	104	k u k i ʃ	C V C V C	104
2860	Matis	firefly	kukuʂ	kukuʂ	k u k u ʂ	None	104	k u k u ʂ	C V C V C	104
2850	ProtoPanoan	firefly	koki[ʃ]	koki[ʃ]	k o k i ʃ	None	104	k o k i ʃ	C V C V C	104
2857	Sharanawa	firefly	kokoʂ	kokoʂ	k o k o ʂ	None	104	k o k o ʂ	C V C V C	104
3911	Matis	firefly	nɨa	nɨa	n ɨ a	None	191	n ɨ a	C V V	191
2578	Amawaka	firewood	karo	karo	k a r o	II	82	k a r o	C V C V	82
2573	Chakobo	firewood	karo	karo	k a r o	None	82	k a r o	C V C V	82
2574	Chaninawa	firewood	kaɾo	kaɾo	k a ɾ o	None	82	k a ɾ o	C V C V	82
2570	Kakataibo	firewood	karo	karo	k a r o	None	82	k a r o	C V C V	82
2572	Kapanawa	firewood	kaaro	kaaro	k a r o	None	82	k a r o	C V C V	82
2577	Katukina	firewood	karu	karu	k a r u	None	82	k a r u	C V C V	82
2579	Kaxinawa	firewood	kadu	kadu	k a d u	None	82	k a d u	C V C V	82
2580	Marinawa	firewood	káró	káró	k a r o	None	82	k a r o	C V C V	82
2581	Marubo	firewood	ˈkaro	ˈkaro	k a r o	None	82	k a r o	C V C V	82
2569	ProtoPanoan	firewood	kaɽo	kaɽo	k a ɽ o	None	82	k a ɽ o	C V C V	82
2575	Sharanawa	firewood	kaɾo	kaɾo	k a ɾ o	None	82	k a ɾ o	C V C V	82
2571	ShipiboKonibo	firewood	karo	karo	k a r o	None	82	k a r o	C V C V	82
385	Korubo	fish	ipu	ipu	i p u	None	138	- i p u	V C V	138
1708	Katukina	fish	tsatsa	tsatsa	ts a ts a	None	14	ts a ts a	C V C V	14
3020	Kaxarari	fish	m͡aiˈlɤ	m͡aiˈlɤ	m a i l	None	119	m a - i l	C V V C	119
7066	Amawaka	fish	yapa	yapa	j a p a	II	444	j a p a	C V C V	444
7062	Chakobo	fish	ˈyapa	ˈyapa	j a p a	None	444	j a p a	C V C V	444
7058	Kakataibo	fish	apɔɔ́́	apɔɔ́́	a p ɔ	None	444	- a p ɔ	V C V	444
7060	Kapanawa	fish	yapa	yapa	j a p a	None	444	j a p a	C V C V	444
7065	Katukina	fish	yapa	yapa	j a p a	None	444	j a p a	C V C V	444
7067	Kaxinawa	fish	yapa	yapa	j a p a	None	444	j a p a	C V C V	444
7068	Marinawa	fish	yápá	yápá	j a p a	None	444	j a p a	C V C V	444
7061	Marubo	fish	yapa[ˈyapaʔ]	yapa[ˈyapaʔ]	j a p a	None	444	j a p a	C V C V	444
7070	Matis	fish	tʃapa	tʃapa	tʃ a p a	None	444	tʃ a p a	C V C V	444
7057	ProtoPanoan	fish	yapa	yapa	j a p a	None	444	j a p a	C V C V	444
7063	Sharanawa	fish	yapa	yapa	j a p a	None	444	j a p a	C V C V	444
7059	ShipiboKonibo	fish	yapa	yapa	j a p a	None	444	j a p a	C V C V	444
7069	Yawanawa	fish	jaˈpa	jaˈpa	j a p a	None	444	j a p a	C V C V	444
7214	Poyanawa	fish	iumã	iumã	j u m a	None	457	j u m a	C V C V	457
7218	Yawanawa	fish	iuma	iuma	j u m a	None	457	j u m a	C V C V	457
3620	Amawaka	fishhook	miʃkiti	miʃkiti	m i ʃ k i t i	II	169	m i ʃ k i t i	C V C C V C V	169
3617	Kakataibo	fishhook	miʃkiti	miʃkiti	m i ʃ k i t i	None	169	m i ʃ k i t i	C V C C V C V	169
3619	Kapanawa	fishhook	miʃkiti	miʃkiti	m i ʃ k i t i	None	169	m i ʃ k i t i	C V C C V C V	169
3621	Kaxinawa	fishhook	miʃkiti	miʃkiti	m i ʃ k i t i	None	169	m i ʃ k i t i	C V C C V C V	169
3616	ProtoPanoan	fishhook	miʃkiti	miʃkiti	m i ʃ k i t i	None	169	m i ʃ k i t i	C V C C V C V	169
3618	ShipiboKonibo	fishhook	miʃkiti	miʃkiti	m i ʃ k i t i	None	169	m i ʃ k i t i	C V C C V C V	169
3622	Yawanawa	fishhook	miʃkiti	miʃkiti	m i ʃ k i t i	None	169	m i ʃ k i t i	C V C C V C V	169
4287	Amawaka	flower	howa_I	howa_I	h o w a	None	223	h o w a	C V C V	223
4280	Chakobo	flower	hoa	hoa	h o a	None	223	h o - a	C V V	223
4283	Chaninawa	flower	oa	oa	o a	None	223	- o - a	V V	223
4275	Kakataibo	flower	oa	oa	o a	None	223	- o - a	V V	223
4277	Kapanawa	flower	hoa	hoa	h o a	None	223	h o - a	C V V	223
4286	Katukina	flower	huˈaʔ	huˈaʔ	h u a	None	223	h u - a	C V V	223
4282	Kaxarari	flower	ɦiɦuˈwa	ɦiɦuˈwa	ɦ u w a	None	223	ɦ u w a	C V C V	223
4288	Kaxinawa	flower	hua	hua	h u a	None	223	h u - a	C V V	223
4289	Marinawa	flower	oa	oa	o a	None	223	- o - a	V V	223
4278	Marubo	flower	ˈvimi_ˈua	ˈvimi_ˈua	u a	None	223	- u - a	V V	223
4274	ProtoPanoan	flower	hoa	hoa	h o a	None	223	h o - a	C V V	223
4284	Sharanawa	flower	oa	oa	o a	None	223	- o - a	V V	223
4276	ShipiboKonibo	flower	hoa	hoa	h o a	None	223	h o - a	C V V	223
4290	Yawanawa	flower	ua	ua	u a	None	223	- u - a	V V	223
992	Amawaka	foam	wakox	wakox	w a k o x	None	474	w a k o x	C V C V C	474
989	Chakobo	foam	βakoʂ	βakoʂ	β a k o ʂ	None	474	β a k o ʂ	C V C V C	474
985	Kakataibo	foam	βakóʂ	βakóʂ	β a k o ʂ	None	474	β a k o ʂ	C V C V C	474
987	Kapanawa	foam	βakóʂ	βakóʂ	β a k o ʂ	None	474	β a k o ʂ	C V C V C	474
993	Kaxinawa	foam	bakuʂ	bakuʂ	b a k u ʂ	None	474	b a k u ʂ	C V C V C	474
994	Marinawa	foam	ɸákoʂɨ	ɸákoʂɨ	ɸ a k o ʂ	None	474	ɸ a k o ʂ	C V C V C	474
988	Marubo	foam	vakoʃɨ	vakoʃɨ	v a k o ʃ	None	474	v a k o ʃ	C V C V C	474
995	Mayoruna	foam	baˈkuʂ	baˈkuʂ	b a k u ʂ	None	474	b a k u ʂ	C V C V C	474
984	ProtoPanoan	foam	βakoʂ	βakoʂ	β a k o ʂ	None	474	β a k o ʂ	C V C V C	474
991	Sharanawa	foam	ɸakoʂɨ	ɸakoʂɨ	ɸ a k o ʂ	None	474	ɸ a k o ʂ	C V C V C	474
986	ShipiboKonibo	foam	βakóʂ	βakóʂ	β a k o ʂ	None	474	β a k o ʂ	C V C V C	474
4838	Chakobo	food	pití	pití	p i t i	None	267	p i t i	C V C V	267
4840	Chaninawa	food	piti	piti	p i t i	None	267	p i t i	C V C V	267
4834	Kakataibo	food	piti	piti	p i t i	None	267	p i t i	C V C V	267
4836	Kapanawa	food	piti	piti	p i t i	None	267	p i t i	C V C V	267
4844	Katukina	food	piti	piti	p i t i	None	267	p i t i	C V C V	267
4846	Kaxinawa	food	piti	piti	p i t i	None	267	p i t i	C V C V	267
4847	Marinawa	food	pití	pití	p i t i	None	267	p i t i	C V C V	267
4837	Marubo	food	ˈpītĭ	ˈpītĭ	p i t i	None	267	p i t i	C V C V	267
4849	Matis	food	pete	pete	p e t e	None	267	p e t e	C V C V	267
4850	Mayoruna	food	pete	pete	p e t e	None	267	p e t e	C V C V	267
4833	ProtoPanoan	food	piti	piti	p i t i	None	267	p i t i	C V C V	267
4843	Shanenawa	food	piti	piti	p i t i	None	267	p i t i	C V C V	267
4841	Sharanawa	food	piti	piti	p i t i	None	267	p i t i	C V C V	267
4835	ShipiboKonibo	food	piti	piti	p i t i	None	267	p i t i	C V C V	267
4839	Yaminawa	food	pitiɸo	pitiɸo	p i t i	None	267	p i t i	C V C V	267
4848	Yawanawa	food	piti	piti	p i t i	None	267	p i t i	C V C V	267
6291	Amawaka	foot	taʔɨ	taʔɨ	t a ʔ ɨ	II	377	t a ʔ ɨ	C V C V	377
6281	Chakobo	foot	taʔɨ	taʔɨ	t a ʔ ɨ	None	377	t a ʔ ɨ	C V C V	377
6285	Chaninawa	foot	taɨ	taɨ	t a ɨ	None	377	t a - ɨ	C V V	377
6276	Kakataibo	foot	taɨ	taɨ	t a ɨ	None	377	t a - ɨ	C V V	377
6279	Kapanawa	foot	taʔɨ	taʔɨ	t a ʔ ɨ	None	377	t a ʔ ɨ	C V C V	377
6289	Katukina	foot	taɨ	taɨ	t a ɨ	None	377	t a - ɨ	C V V	377
6282	Kaxarari	foot	[taˈʔɨ]	[taˈʔɨ]	t a ʔ ɨ	None	377	t a ʔ ɨ	C V C V	377
6292	Kaxinawa	foot	taɨ	taɨ	t a ɨ	None	377	t a - ɨ	C V V	377
6295	Korubo	foot	taɨ	taɨ	t a ɨ	None	377	t a - ɨ	C V V	377
6293	Marinawa	foot	táɨ́́	táɨ́́	t a ɨ	None	377	t a - ɨ	C V V	377
6280	Marubo	foot	ˈtaɨ	ˈtaɨ	t a ɨ	None	377	t a - ɨ	C V V	377
6296	Matis	foot	taɨ	taɨ	t a ɨ	None	377	t a - ɨ	C V V	377
6290	Poyanawa	foot	tay	tay	t a ɨ	None	377	t a - ɨ	C V V	377
6275	ProtoPanoan	foot	taʔɨ	taʔɨ	t a ʔ ɨ	None	377	t a ʔ ɨ	C V C V	377
6288	Shanenawa	foot	taɨ	taɨ	t a ɨ	None	377	t a - ɨ	C V V	377
6286	Sharanawa	foot	taɨ	taɨ	t a ɨ	None	377	t a - ɨ	C V V	377
6278	ShipiboKonibo	foot	taɨ	taɨ	t a ɨ	None	377	t a - ɨ	C V V	377
6283	Yaminawa	foot	taɨ	taɨ	t a ɨ	None	377	t a - ɨ	C V V	377
6294	Yawanawa	foot	tai	tai	t a i	None	377	t a - i	C V V	377
1231	Chakobo	forehead, face	βɨmaˈna	βɨmaˈna	β ɨ m a n a	None	490	β ɨ m a n a -	C V C V C V	490
1234	Chaninawa	forehead, face	ɸɨmana	ɸɨmana	ɸ ɨ m a n a	None	490	ɸ ɨ m a n a -	C V C V C V	490
1225	Kakataibo	forehead, face	βɨmána	βɨmána	β ɨ m a n a	None	490	β ɨ m a n a -	C V C V C V	490
1229	Kapanawa	forehead, face	βɨmana	βɨmana	β ɨ m a n a	None	490	β ɨ m a n a -	C V C V C V	490
1239	Katukina	forehead, face	βɨmɐˈna	βɨmɐˈna	β ɨ m ɐ n a	None	490	β ɨ m ɐ n a -	C V C V C V	490
1241	Kaxinawa	forehead, face	bɨmãnã	bɨmãnã	b ɨ m a n a ∼	None	490	b ɨ m a n a ∼	C V C V C V C	490
1244	Korubo	forehead, face	βɨmanan	βɨmanan	β ɨ m a n a n	None	490	β ɨ m a n a n	C V C V C V C	490
1242	Marinawa	forehead, face	ɸɨ́mã́nã́	ɸɨ́mã́nã́	ɸ ɨ m a n a ∼	None	490	ɸ ɨ m a n a ∼	C V C V C V C	490
1230	Marubo	forehead, face	βɨˈmanɨ	βɨˈmanɨ	β ɨ m a n ɨ	None	490	β ɨ m a n ɨ -	C V C V C V	490
1245	Matis	forehead, face	bɨmanan	bɨmanan	b ɨ m a n a n	None	490	b ɨ m a n a n	C V C V C V C	490
1224	ProtoPanoan	forehead, face	βɨmãnan	βɨmãnan	β ɨ m a n a n	None	490	β ɨ m a n a n	C V C V C V C	490
1238	Shanenawa	forehead, face	fumana	fumana	f u m a n a	None	490	f u m a n a -	C V C V C V	490
1236	Sharanawa	forehead, face	ɸɨmanan	ɸɨmanan	ɸ ɨ m a n a n	None	490	ɸ ɨ m a n a n	C V C V C V C	490
1226	ShipiboKonibo	forehead, face	ˈβɨmanan	ˈβɨmanan	β ɨ m a n a n	None	490	β ɨ m a n a n	C V C V C V C	490
1232	Yaminawa	forehead, face	ɸɨmãnã	ɸɨmãnã	ɸ ɨ m a n a ∼	None	490	ɸ ɨ m a n a ∼	C V C V C V C	490
1243	Yawanawa	forehead, face	βɨmaˈnɐ̃	βɨmaˈnɐ̃	β ɨ m a n ɐ ∼	None	490	β ɨ m a n ɐ ∼	C V C V C V C	490
1380	Amawaka	forehead, face	wɨ-mãko	wɨ-mãko	w ɨ	None	502	w ɨ	C V	502
3994	Amawaka	forest	niʔi	niʔi	n i ʔ i	II	198	n i ʔ i	C V C V	198
3984	Chakobo	forest	niʔi	niʔi	n i ʔ i	None	198	n i ʔ i	C V C V	198
3986	Chaninawa	forest	di_mɨran	di_mɨran	d i	None	198	d i - -	C V	198
3979	Kakataibo	forest	nii	nii	n i i	None	198	n i - i	C V V	198
3982	Kapanawa	forest	niʔi	niʔi	n i ʔ i	None	198	n i ʔ i	C V C V	198
3992	Katukina	forest	nii	nii	n i i	None	198	n i - i	C V V	198
3995	Kaxinawa	forest	ni	ni	n i	None	198	n i - -	C V	198
3996	Marinawa	forest	ní	ní	n i	None	198	n i - -	C V	198
3983	Marubo	forest	nii	nii	n i i	None	198	n i - i	C V V	198
3998	Matis	forest	ni	ni	n i	None	198	n i - -	C V	198
3999	Mayoruna	forest	ni	ni	n i	None	198	n i - -	C V	198
3993	Poyanawa	forest	di	di	d i	None	198	d i - -	C V	198
3978	ProtoPanoan	forest	[n]iʔi	[n]iʔi	rⁿ i ʔ i	None	198	rⁿ i ʔ i	C V C V	198
3991	Shanenawa	forest	ni	ni	n i	None	198	n i - -	C V	198
3989	Sharanawa	forest	nii	nii	n i i	None	198	n i - i	C V V	198
3981	ShipiboKonibo	forest	nii	nii	n i i	None	198	n i - i	C V V	198
3985	Yaminawa	forest	nii	nii	n i i	None	198	n i - i	C V V	198
3997	Yawanawa	forest	ni	ni	n i	None	198	n i - -	C V	198
609	Chakobo	fresh water	hɨnɨ_paʂa	hɨnɨ_paʂa	h ɨ n ɨ p a ʂ a	None	292	h ɨ n ɨ p a ʂ a	C V C V C V C V	292
603	Kakataibo	fresh water	ʔõpáʂ	ʔõpáʂ	ʔ o ∼ p a ʂ	None	292	ʔ o ∼ - p a ʂ -	C V C C V C	292
611	Kaxinawa	fresh water	ũpaʂ	ũpaʂ	u ∼ p a ʂ	None	292	- u ∼ - p a ʂ -	V C C V C	292
606	Marubo	fresh water	ˈwakapaʃa	ˈwakapaʃa	p a ʃ a	None	292	- - - - p a ʃ a	C V C V	292
602	ProtoPanoan	fresh water	ʔoma-paʂa	ʔoma-paʂa	ʔ o m a p a ʂ a	None	292	ʔ o m a p a ʂ a	C V C V C V C V	292
604	ShipiboKonibo	fresh water	ʔõpáʂ	ʔõpáʂ	ʔ o ∼ p a ʂ	None	292	ʔ o ∼ - p a ʂ -	C V C C V C	292
610	Yaminawa	fresh water	ɞ̃ˈpaʂ	ɞ̃ˈpaʂ	o ∼ p a ʂ	None	292	- o ∼ - p a ʂ -	V C C V C	292
6704	Katukina	fresh water	waka	waka	w a k a	None	412	w a k a	C V C V	412
6711	Matis	fresh water	waka	waka	w a k a	None	412	w a k a	C V C V	412
6702	Yaminawa	fresh water	ɸaka	ɸaka	ɸ a k a	None	412	ɸ a k a	C V C V	412
1954	Yaminawa	fresh water	ɨdɨ	ɨdɨ	ɨ d ɨ	None	37	- ɨ d ɨ	V C V	37
1459	Amawaka	fruit	wimi	wimi	w i m i	None	508	w i m i	C V C V	508
1450	Chakobo	fruit	βimi	βimi	β i m i	None	508	β i m i	C V C V	508
1453	Chaninawa	fruit	ɸibi	ɸibi	ɸ i b i	None	508	ɸ i b i	C V C V	508
1446	Kakataibo	fruit	βimi	βimi	β i m i	None	508	β i m i	C V C V	508
1448	Kapanawa	fruit	βimi	βimi	β i m i	None	508	β i m i	C V C V	508
1458	Katukina	fruit	βimi	βimi	β i m i	None	508	β i m i	C V C V	508
1451	Kaxarari	fruit	biˈmi	biˈmi	b i m i	None	508	b i m i	C V C V	508
1460	Kaxinawa	fruit	bimi_I	bimi_I	b i m i	None	508	b i m i	C V C V	508
1461	Marinawa	fruit	ɸimi	ɸimi	ɸ i m i	None	508	ɸ i m i	C V C V	508
1449	Marubo	fruit	ˈvimi	ˈvimi	v i m i	None	508	v i m i	C V C V	508
1445	ProtoPanoan	fruit	βimi	βimi	β i m i	None	508	β i m i	C V C V	508
1457	Shanenawa	fruit	fimi	fimi	f i m i	None	508	f i m i	C V C V	508
1455	Sharanawa	fruit	ɸimi	ɸimi	ɸ i m i	None	508	ɸ i m i	C V C V	508
1447	ShipiboKonibo	fruit	βimi	βimi	β i m i	None	508	β i m i	C V C V	508
1452	Yaminawa	fruit	ɸimi	ɸimi	ɸ i m i	None	508	ɸ i m i	C V C V	508
1462	Yawanawa	fruit	βimi	βimi	β i m i	None	508	β i m i	C V C V	508
6221	Amawaka	fur	xopo	xopo	x o p o	II	373	x o p o -	C V C V	373
6218	Chakobo	fur	ˈʂopo	ˈʂopo	ʂ o p o	None	373	ʂ o p o -	C V C V	373
6215	Kakataibo	fur	ʂopó	ʂopó	ʂ o p o	None	373	ʂ o p o -	C V C V	373
6217	Kapanawa	fur	ʂopó	ʂopó	ʂ o p o	None	373	ʂ o p o -	C V C V	373
6222	Kaxinawa	fur	ʂupu	ʂupu	ʂ u p u	None	373	ʂ u p u -	C V C V	373
6223	Marinawa	fur	ʂópo	ʂópo	ʂ o p o	None	373	ʂ o p o -	C V C V	373
6214	ProtoPanoan	fur	ʂopoCc	ʂopoCc	ʂ o p o tʳ	None	373	ʂ o p o tʳ	C V C V C	373
6219	Sharanawa	fur	ʂopo	ʂopo	ʂ o p o	None	373	ʂ o p o -	C V C V	373
6216	ShipiboKonibo	fur	ʂopó	ʂopó	ʂ o p o	None	373	ʂ o p o -	C V C V	373
3783	Amawaka	genipa	nanɨ_I	nanɨ_I	n a n ɨ	None	181	n a n ɨ	C V C V	181
3778	Chakobo	genipa	ˈnanɨ	ˈnanɨ	n a n ɨ	None	181	n a n ɨ	C V C V	181
3779	Chaninawa	genipa	dadɨ	dadɨ	d a d ɨ	None	181	d a d ɨ	C V C V	181
3774	Kakataibo	genipa	nanɨ	nanɨ	n a n ɨ	None	181	n a n ɨ	C V C V	181
3776	Kapanawa	genipa	nanɨ	nanɨ	n a n ɨ	None	181	n a n ɨ	C V C V	181
3782	Katukina	genipa	nanɨ	nanɨ	n a n ɨ	None	181	n a n ɨ	C V C V	181
3784	Kaxinawa	genipa	nanɨ	nanɨ	n a n ɨ	None	181	n a n ɨ	C V C V	181
3787	Korubo	genipa	nanɨ	nanɨ	n a n ɨ	None	181	n a n ɨ	C V C V	181
3785	Marinawa	genipa	nanɨ	nanɨ	n a n ɨ	None	181	n a n ɨ	C V C V	181
3777	Marubo	genipa	nanɨ	nanɨ	n a n ɨ	None	181	n a n ɨ	C V C V	181
3773	ProtoPanoan	genipa	[n]a[n]ɨ	[n]a[n]ɨ	rⁿ a rⁿ ɨ	None	181	rⁿ a rⁿ ɨ	C V C V	181
3780	Sharanawa	genipa	nanɨ	nanɨ	n a n ɨ	None	181	n a n ɨ	C V C V	181
3775	ShipiboKonibo	genipa	nanɨ	nanɨ	n a n ɨ	None	181	n a n ɨ	C V C V	181
3786	Yawanawa	genipa	nanɨ	nanɨ	n a n ɨ	None	181	n a n ɨ	C V C V	181
7182	Marubo	ghost	yovɨ	yovɨ	j o v ɨ	None	454	j o v ɨ - -	C V C V	454
7287	Amawaka	ghost	yoʃi	yoʃi	j o ʃ i	II	463	j o ʃ i -	C V C V	463
7280	Chakobo	ghost	yoʃini	yoʃini	j o ʃ i n	None	463	j o ʃ i n	C V C V C	463
7275	Kakataibo	ghost	uʃĩ	uʃĩ	u ʃ i ∼	None	463	- u ʃ i ∼	V C V C	463
7279	Kapanawa	ghost	yoʃín	yoʃín	j o ʃ i n	None	463	j o ʃ i n	C V C V C	463
7288	Kaxinawa	ghost	yuʃi	yuʃi	j u ʃ i	None	463	j u ʃ i -	C V C V	463
7291	Korubo	ghost	tsusin	tsusin	ts u s i n	None	463	ts u s i n	C V C V C	463
